# api_shortname, googleapis-folder, distribution_name:version, googleapis_committish, monorepo_folder
iamcredentials, google/iam/credentials/v1, com.google.cloud:google-cloud-iamcredentials, 17e6661f8bf43374633adf950454ed8e69bdcee1, java-iamcredentials
ids, google/cloud/ids/v1, com.google.cloud:google-cloud-ids, 17e6661f8bf43374633adf950454ed8e69bdcee1, java-ids
cloudiot, google/cloud/iot/v1, com.google.cloud:google-cloud-iot, 17e6661f8bf43374633adf950454ed8e69bdcee1, java-iot
language, google/cloud/language/v2, com.google.cloud:google-cloud-language, 17e6661f8bf43374633adf950454ed8e69bdcee1, java-language
managedidentities, google/cloud/managedidentities/v1, com.google.cloud:google-cloud-managed-identities, 17e6661f8bf43374633adf950454ed8e69bdcee1, java-managed-identities
memcache, google/cloud/memcache/v1, com.google.cloud:google-cloud-memcache, 17e6661f8bf43374633adf950454ed8e69bdcee1, java-memcache
monitoring-dashboards, google/monitoring/dashboard/v1, com.google.cloud:google-cloud-monitoring-dashboard, 17e6661f8bf43374633adf950454ed8e69bdcee1, java-monitoring-dashboards
networkconnectivity, google/cloud/networkconnectivity/v1, com.google.cloud:google-cloud-networkconnectivity, 17e6661f8bf43374633adf950454ed8e69bdcee1, java-networkconnectivity
networkmanagement, google/cloud/networkmanagement/v1, com.google.cloud:google-cloud-network-management, 17e6661f8bf43374633adf950454ed8e69bdcee1, java-network-management
notebooks, google/cloud/notebooks/v2, com.google.cloud:google-cloud-notebooks, 17e6661f8bf43374633adf950454ed8e69bdcee1, java-notebooks
cloudoptimization, google/cloud/optimization/v1, com.google.cloud:google-cloud-optimization, 17e6661f8bf43374633adf950454ed8e69bdcee1, java-optimization
orchestration-airflow, google/cloud/orchestration/airflow/service/v1, com.google.cloud:google-cloud-orchestration-airflow, 17e6661f8bf43374633adf950454ed8e69bdcee1, java-orchestration-airflow
orgpolicy, google/cloud/orgpolicy/v2, com.google.cloud:google-cloud-orgpolicy, 17e6661f8bf43374633adf950454ed8e69bdcee1, java-orgpolicy
osconfig, google/cloud/osconfig/v1, com.google.cloud:google-cloud-os-config, 17e6661f8bf43374633adf950454ed8e69bdcee1, java-os-config
oslogin, google/cloud/oslogin/v1, com.google.cloud:google-cloud-os-login, 17e6661f8bf43374633adf950454ed8e69bdcee1, java-os-login
policytroubleshooter, google/cloud/policytroubleshooter/v1, com.google.cloud:google-cloud-policy-troubleshooter, 17e6661f8bf43374633adf950454ed8e69bdcee1, java-policy-troubleshooter
cloudprofiler, google/devtools/cloudprofiler/v2, com.google.cloud:google-cloud-profiler, 17e6661f8bf43374633adf950454ed8e69bdcee1, java-profiler
recaptchaenterprise, google/cloud/recaptchaenterprise/v1, com.google.cloud:google-cloud-recaptchaenterprise, 17e6661f8bf43374633adf950454ed8e69bdcee1, java-recaptchaenterprise
recommender, google/cloud/recommender/v1, com.google.cloud:google-cloud-recommender, 17e6661f8bf43374633adf950454ed8e69bdcee1, java-recommender
redis, google/cloud/redis/v1, com.google.cloud:google-cloud-redis, 17e6661f8bf43374633adf950454ed8e69bdcee1, java-redis
resourcesettings, google/cloud/resourcesettings/v1, com.google.cloud:google-cloud-resource-settings, 17e6661f8bf43374633adf950454ed8e69bdcee1, java-resource-settings
retail, google/cloud/retail/v2, com.google.cloud:google-cloud-retail, f4efe4b2b6c06fec34ad51060e81734183e76216, java-retail
cloudscheduler, google/cloud/scheduler/v1, com.google.cloud:google-cloud-scheduler, 17e6661f8bf43374633adf950454ed8e69bdcee1, java-scheduler
securitycenter, google/cloud/securitycenter/v1, com.google.cloud:google-cloud-securitycenter, 17e6661f8bf43374633adf950454ed8e69bdcee1, java-securitycenter
privateca, google/cloud/security/privateca/v1, com.google.cloud:google-cloud-security-private-ca, 17e6661f8bf43374633adf950454ed8e69bdcee1, java-security-private-ca
servicecontrol, google/api/servicecontrol/v2, com.google.cloud:google-cloud-service-control, 17e6661f8bf43374633adf950454ed8e69bdcee1, java-service-control
servicedirectory, google/cloud/servicedirectory/v1, com.google.cloud:google-cloud-servicedirectory, 17e6661f8bf43374633adf950454ed8e69bdcee1, java-servicedirectory
servicemanagement, google/api/servicemanagement/v1, com.google.cloud:google-cloud-service-management, 17e6661f8bf43374633adf950454ed8e69bdcee1, java-service-management
serviceusage, google/api/serviceusage/v1, com.google.cloud:google-cloud-service-usage, 17e6661f8bf43374633adf950454ed8e69bdcee1, java-service-usage
cloudshell, google/cloud/shell/v1, com.google.cloud:google-cloud-shell, 17e6661f8bf43374633adf950454ed8e69bdcee1, java-shell
speech, google/cloud/speech/v2, com.google.cloud:google-cloud-speech, 17e6661f8bf43374633adf950454ed8e69bdcee1, java-speech
storagetransfer, google/storagetransfer/v1, com.google.cloud:google-cloud-storage-transfer, 17e6661f8bf43374633adf950454ed8e69bdcee1, java-storage-transfer
jobs, google/cloud/talent/v4, com.google.cloud:google-cloud-talent, 17e6661f8bf43374633adf950454ed8e69bdcee1, java-talent
cloudtasks, google/cloud/tasks/v2, com.google.cloud:google-cloud-tasks, 17e6661f8bf43374633adf950454ed8e69bdcee1, java-tasks
texttospeech, google/cloud/texttospeech/v1, com.google.cloud:google-cloud-texttospeech, 17e6661f8bf43374633adf950454ed8e69bdcee1, java-texttospeech
tpu, google/cloud/tpu/v2, com.google.cloud:google-cloud-tpu, 17e6661f8bf43374633adf950454ed8e69bdcee1, java-tpu
cloudtrace, google/devtools/cloudtrace/v2, com.google.cloud:google-cloud-trace, 17e6661f8bf43374633adf950454ed8e69bdcee1, java-trace
videointelligence, google/cloud/videointelligence/v1, com.google.cloud:google-cloud-video-intelligence, 17e6661f8bf43374633adf950454ed8e69bdcee1, java-video-intelligence
transcoder, google/cloud/video/transcoder/v1, com.google.cloud:google-cloud-video-transcoder, 17e6661f8bf43374633adf950454ed8e69bdcee1, java-video-transcoder
vmmigration, google/cloud/vmmigration/v1, com.google.cloud:google-cloud-vmmigration, 17e6661f8bf43374633adf950454ed8e69bdcee1, java-vmmigration
vpcaccess, google/cloud/vpcaccess/v1, com.google.cloud:google-cloud-vpcaccess, 17e6661f8bf43374633adf950454ed8e69bdcee1, java-vpcaccess
webrisk, google/cloud/webrisk/v1, com.google.cloud:google-cloud-webrisk, 17e6661f8bf43374633adf950454ed8e69bdcee1, java-webrisk
websecurityscanner, google/cloud/websecurityscanner/v1, com.google.cloud:google-cloud-websecurityscanner, 17e6661f8bf43374633adf950454ed8e69bdcee1, java-websecurityscanner
workflowexecutions, google/cloud/workflows/executions/v1, com.google.cloud:google-cloud-workflow-executions, 17e6661f8bf43374633adf950454ed8e69bdcee1, java-workflow-executions
workflows, google/cloud/workflows/v1, com.google.cloud:google-cloud-workflows, 17e6661f8bf43374633adf950454ed8e69bdcee1, java-workflows
